profile,layer,gamma,metric,n,mean,lower,upper
03878c8d9b9954cd,3,128.0,test_accuracy,3,0.972,0.951,0.988
03878c8d9b9954cd,3,0.03125,ntk_drift,3,0.02322041429579258,0.019929802045226097,0.029734697192907333
03878c8d9b9954cd,3,0.5,ntk_drift,3,0.6660118798414866,0.4741446077823639,0.9097630381584167
03878c8d9b9954cd,3,1.0,ntk_drift,3,2.5528510014216104,1.8034225702285767,3.631577491760254
03878c8d9b9954cd,3,16.0,ntk_drift,3,156.4264170328776,151.82691955566406,162.52040100097656
03878c8d9b9954cd,3,128.0,ntk_drift,3,4730.867350260417,4304.48291015625,5425.6787109375
03878c8d9b9954cd,3,0.03125,cka_drift,3,0.00022216405043136897,0.00012218229453131446,0.000330351822283248
03878c8d9b9954cd,3,0.5,cka_drift,3,0.11395004505803301,0.07806244877585611,0.14217268059510424
03878c8d9b9954cd,3,1.0,cka_drift,3,0.20823728182734502,0.17973123764084142,0.24256953382935398
03878c8d9b9954cd,3,16.0,cka_drift,3,0.3098656620342838,0.2503448527504363,0.3711536190959263
03878c8d9b9954cd,3,128.0,cka_drift,3,0.3122154245736999,0.25600633122680183,0.3725025884223012
03878c8d9b9954cd,3,0.03125,effective_rank,3,13.32493353725834,13.183851504730976,13.441632523561701
03878c8d9b9954cd,3,0.5,effective_rank,3,9.513631289848554,9.091256746130155,10.054779852805394
03878c8d9b9954cd,3,1.0,effective_rank,3,6.6876511328562644,6.168102689776615,7.148637903269004
03878c8d9b9954cd,3,16.0,effective_rank,3,3.1741799373774313,3.131428837635202,3.205883420113929
03878c8d9b9954cd,3,128.0,effective_rank,3,2.587647676528459,2.572585395012751,2.610834094846344
03878c8d9b9954cd,3,0.03125,local_normalized_q01,3,0.8037059108416239,0.7779929637908936,0.8318265080451965
03878c8d9b9954cd,3,0.5,local_normalized_q01,3,0.6312241554260254,0.585256040096283,0.6712653636932373
03878c8d9b9954cd,3,1.0,local_normalized_q01,3,0.4601742724577586,0.4310630261898041,0.4793809950351715
03878c8d9b9954cd,3,16.0,local_normalized_q01,3,0.10402432332436244,0.09895088523626328,0.11410529166460037
03878c8d9b9954cd,3,128.0,local_normalized_q01,3,0.03893403336405754,0.03206624090671539,0.045523665845394135
03878c8d9b9954cd,3,0.03125,global_normalized_q01,3,0.3893643480183117,0.37834142404226495,0.3971947171126214
03878c8d9b9954cd,3,0.5,global_normalized_q01,3,0.3690641769969251,0.353096299811613,0.38545112934639697
03878c8d9b9954cd,3,1.0,global_normalized_q01,3,0.28982067793602656,0.2736681098398112,0.29983237608265
03878c8d9b9954cd,3,16.0,global_normalized_q01,3,0.08893975183100604,0.0839494998374486,0.09551699417225608
03878c8d9b9954cd,3,128.0,global_normalized_q01,3,0.04475459457992176,0.039839659634554866,0.04908552675971791
03878c8d9b9954cd,3,0.03125,nuisance_jacobian,3,3.7936082681020102,3.7418713569641113,3.8939197063446045
03878c8d9b9954cd,3,0.5,nuisance_jacobian,3,3.6115809281667075,3.597842216491699,3.632279396057129
03878c8d9b9954cd,3,1.0,nuisance_jacobian,3,3.518925348917643,3.4675426483154297,3.6199398040771484
03878c8d9b9954cd,3,16.0,nuisance_jacobian,3,3.187251249949137,3.1514317989349365,3.2505810260772705
03878c8d9b9954cd,3,128.0,nuisance_jacobian,3,4.211274941762288,4.090260982513428,4.3507537841796875
03878c8d9b9954cd,3,0.03125,mlp_nuisance_cosine,3,0.9992092251777649,0.9990476369857788,0.9993780255317688
03878c8d9b9954cd,3,0.5,mlp_nuisance_cosine,3,0.9991437594095866,0.9989604353904724,0.9992631673812866
03878c8d9b9954cd,3,1.0,mlp_nuisance_cosine,3,0.9993073145548502,0.9990774989128113,0.9994853734970093
03878c8d9b9954cd,3,16.0,mlp_nuisance_cosine,3,0.9992778897285461,0.9991449117660522,0.9993717074394226
03878c8d9b9954cd,3,128.0,mlp_nuisance_cosine,3,0.9990734656651815,0.9988285899162292,0.999342679977417
03878c8d9b9954cd,3,0.03125,ph_h1_top2,3,0.56600464714898,0.5125066041946411,0.6284583608309428
03878c8d9b9954cd,3,0.5,ph_h1_top2,3,0.4358558456103007,0.3876700202624003,0.4753841559092204
03878c8d9b9954cd,3,1.0,ph_h1_top2,3,0.3238492508729299,0.2950984636942546,0.3560577829678853
03878c8d9b9954cd,3,16.0,ph_h1_top2,3,0.06949995458126068,0.05745153625806173,0.09161277612050374
03878c8d9b9954cd,3,128.0,ph_h1_top2,3,0.019533641636371613,0.015777374307314556,0.02362084885438283
03878c8d9b9954cd,4,0.03125,test_accuracy,3,0.9863333333333334,0.985,0.988
03878c8d9b9954cd,4,0.5,test_accuracy,3,0.975,0.965,0.984
03878c8d9b9954cd,4,1.0,test_accuracy,3,0.967,0.963,0.9700000000000001
03878c8d9b9954cd,4,16.0,test_accuracy,3,0.9753333333333334,0.9620000000000001,0.9860000000000001
03878c8d9b9954cd,4,128.0,test_accuracy,3,0.972,0.951,0.988
03878c8d9b9954cd,4,0.03125,ntk_drift,3,0.02322041429579258,0.019929802045226097,0.029734697192907333
03878c8d9b9954cd,4,0.5,ntk_drift,3,0.6660118798414866,0.4741446077823639,0.9097630381584167
03878c8d9b9954cd,4,1.0,ntk_drift,3,2.5528510014216104,1.8034225702285767,3.631577491760254
03878c8d9b9954cd,4,16.0,ntk_drift,3,156.4264170328776,151.82691955566406,162.52040100097656
03878c8d9b9954cd,4,128.0,ntk_drift,3,4730.867350260417,4304.48291015625,5425.6787109375
03878c8d9b9954cd,4,0.03125,cka_drift,3,0.0010490138408547252,0.0005828437873003356,0.0013350748555718273
03878c8d9b9954cd,4,0.5,cka_drift,3,0.23152983433207816,0.1600382699169054,0.27079774081612207
