gamma,seed,layer,noise_level,training_rms,coordinate_noise_sd,angular_cosine,angular_mae
0.125,101,4,0.0,3.301129409766218,0.0,0.9998464755020268,0.013944497647380214
0.125,101,4,0.001,3.301129409766218,0.0002063205881103886,0.999846063051178,0.013931398925221558
0.125,101,4,0.01,3.301129409766218,0.0020632058811038863,0.9998382987305583,0.014251337048698859
0.125,101,4,0.1,3.301129409766218,0.020632058811038863,0.9994734402597883,0.026007869524349404
0.125,102,4,0.0,3.0896213562159276,0.0,0.9998886316420981,0.011905927082483886
0.125,102,4,0.001,3.0896213562159276,0.00019310133476349548,0.9998882042480423,0.01191996716551207
0.125,102,4,0.01,3.0896213562159276,0.0019310133476349548,0.9998810155569391,0.012351858565055317
0.125,102,4,0.1,3.0896213562159276,0.01931013347634955,0.999611628398381,0.022551523180496802
0.25,100,4,0.0,3.677150818166597,0.0,0.9998811602413907,0.012026932515827858
0.25,100,4,0.001,3.677150818166597,0.00022982192613541232,0.9998799107951525,0.012086310991731665
0.25,100,4,0.01,3.677150818166597,0.002298219261354123,0.9998692741349425,0.012624003795365338
0.25,100,4,0.1,3.677150818166597,0.02298219261354123,0.9994996394539651,0.025136446035576576
0.25,101,4,0.0,3.630817105339267,0.0,0.9998407923669688,0.013920959159911664
0.25,101,4,0.001,3.630817105339267,0.00022692606908370419,0.9998405685756786,0.013913439959051406
0.25,101,4,0.01,3.630817105339267,0.002269260690837042,0.9998305742262428,0.014493257945098252
0.25,101,4,0.1,3.630817105339267,0.02269260690837042,0.9993802456548315,0.027941480218635788
0.25,102,4,0.0,3.6295581819156477,0.0,0.9998793880523701,0.012157481095978768
0.25,102,4,0.001,3.6295581819156477,0.00022684738636972798,0.9998769314425247,0.012268438576297544
0.25,102,4,0.01,3.6295581819156477,0.00226847386369728,0.9998677953379096,0.012754856221566623
0.25,102,4,0.1,3.6295581819156477,0.0226847386369728,0.9995145104294269,0.024956760502533985
0.5,100,4,0.0,4.560004631751513,0.0,0.9998502881945968,0.01381616260646021
0.5,100,4,0.001,4.560004631751513,0.00028500028948446953,0.9998493912500396,0.013835103822402429
0.5,100,4,0.01,4.560004631751513,0.0028500028948446952,0.9998334965398,0.014524950442419571
0.5,100,4,0.1,4.560004631751513,0.028500028948446957,0.9991955522292139,0.0319467843560638
0.5,101,4,0.0,4.730732806989004,0.0,0.9998357990345258,0.014117686036306778
